CNSTRCT_YR,BIN,the_geom,NAME,LSTMODDATE,LSTSTATYPE,DOITT_ID,HEIGHTROOF,FEAT_CODE,GROUNDELEV,SHAPE_AREA,SHAPE_LEN,BASE_BBL,MPLUTO_BBL,GEOMSOURCE
1925.0,3170958,"MULTIPOLYGON (((-73.96664570466969 40.62599676998362, -73.96684846176461 40.62597749086253, -73.96685938726297 40.62604419372406, -73.96661621040211 40.62606731716105, -73.96660638332114 40.62600732436975, -73.96664680403327 40.626003480977246, -73.96664570466969 40.62599676998362)))",,08/22/2017 12:00:00 AM +0000,Constructed,96807,29.74985318,2100.0,40.0,0,0,3065220021.0,3065220021.0,Photogramm
1965.0,5028452,"MULTIPOLYGON (((-74.16790202462265 40.63936048076974, -74.16790466499279 40.63928227843775, -74.16799990780702 40.63928414478839, -74.16799726754616 40.63936234622199, -74.16790202462265 40.63936048076974)))",,08/22/2017 12:00:00 AM +0000,Constructed,326368,22.63,2100.0,39.0,0,0,5012640036.0,5012640036.0,Photogramm
1970.0,5078368,"MULTIPOLYGON (((-74.19510813278613 40.556106814799705, -74.19520054332834 40.55605083763535, -74.19524961157205 40.55609796351206, -74.19515720100307 40.55615393981517, -74.19510813278613 40.556106814799705)))",,08/22/2017 12:00:00 AM +0000,Constructed,746627,35.76,2100.0,51.0,0,0,5060190091.0,5060190091.0,Photogramm
1928.0,3245111,"MULTIPOLYGON (((-73.96113466505085 40.57743931616438, -73.96115106427175 40.577438626506336, -73.9611482066905 40.57739910513132, -73.96113180866084 40.57739979388887, -73.9611262071817 40.577322309983394, -73.96119013863581 40.577319622821236, -73.96120349754274 40.57750443832977, -73.9611403239488 40.57751761146039, -73.96113466505085 40.57743931616438)))",,08/22/2017 12:00:00 AM +0000,Constructed,786626,37.5,2100.0,6.0,0,0,3086910048.0,3086910048.0,Photogramm
1950.0,4161096,"MULTIPOLYGON (((-73.75421559146167 40.755912766192935, -73.75417113840834 40.75583703940838, -73.75416954970628 40.75583433359123, -73.75417099507204 40.75583384319693, -73.75434550603411 40.7557746063006, -73.7543790865909 40.75583181158535, -73.75438548342616 40.75582964059049, -73.75438936184118 40.75582832421152, -73.75438983492269 40.75582913027502, -73.75439083522384 40.755830833468806, -73.75440318244121 40.755851865961574, -73.75440447812232 40.75585407316941, -73.75440562905285 40.7558560342297, -73.7543822340519 40.7558639754638, -73.75433207309489 40.75588100157896, -73.75432826725606 40.755874518804575, -73.75421559146167 40.755912766192935)))",,08/22/2017 12:00:00 AM +0000,Constructed,746409,18.01511294,2100.0,93.0,0,0,4075020005.0,4075020005.0,Photogramm
1997.0,5122427,"MULTIPOLYGON (((-74.14644228489016 40.58885592223214, -74.146444480195 40.588834085317316, -74.14644630091722 40.588815961742334, -74.14650961567864 40.58881965963051, -74.14651427748278 40.588819931948386, -74.14651461157415 40.588816609487516, -74.14651655368968 40.58879729256157, -74.14653249785842 40.588798224084144, -74.14661713805317 40.58880316715675, -74.14661420414487 40.58883236320316, -74.14662261689688 40.5888328549611, -74.14661925989091 40.58886625879793, -74.14644228489016 40.58885592223214)))",,08/22/2017 12:00:00 AM +0000,Constructed,933599,32.5,2100.0,175.0,0,0,5019900003.0,5019900003.0,Photogramm
1920.0,4559791,"MULTIPOLYGON (((-73.81922943907101 40.68510398323014, -73.81929547766185 40.68508341921851, -73.8193112085264 40.68511269357095, -73.81924516990897 40.685133258492044, -73.81922943907101 40.68510398323014)))",,08/17/2017 12:00:00 AM +0000,Constructed,1205350,12.1716,5110.0,40.0,0,0,4096030070.0,4096030070.0,Photogramm
2001.0,5133580,"MULTIPOLYGON (((-74.221228292902 40.53031772603126, -74.22124223920417 40.53025879904918, -74.22125236312735 40.53021602504551, -74.22130278484906 40.53022297271082, -74.22129375039647 40.53026114290739, -74.22127539281102 40.53033870497385, -74.22122497218207 40.5303317563938, -74.221228292902 40.53031772603126)))",,08/22/2017 12:00:00 AM +0000,Constructed,937499,27.31,2100.0,105.0,0,0,5073560090.0,5073560090.0,Photogramm
1950.0,5053676,"MULTIPOLYGON (((-74.1030895208037 40.574603152737645, -74.10313477660922 40.574553455365226, -74.10314004461185 40.574556244064404, -74.10315606245021 40.57453865413485, -74.10323038660458 40.574578006054544, -74.10321436995734 40.57459559599333, -74.10321934129486 40.57459822826405, -74.10318579531798 40.57463506556046, -74.10313068660432 40.57469558350189, -74.10304612303585 40.57465081053715, -74.1030895208037 40.574603152737645)))",,08/22/2017 12:00:00 AM +0000,Constructed,105644,16.08,2100.0,8.0,0,0,5037020035.0,5037020035.0,Photogramm
1925.0,4199149,"MULTIPOLYGON (((-73.82694337785975 40.69265328939105, -73.82710446962707 40.692608105955266, -73.82713006236752 40.69266096769209, -73.82696897048982 40.69270615116342, -73.82694337785975 40.69265328939105)))",,08/22/2017 12:00:00 AM +0000,Constructed,607250,29.18,2100.0,55.0,0,0,4094370034.0,4094370034.0,Photogramm
1996.0,5127645,"MULTIPOLYGON (((-74.15369944497655 40.623756372182676, -74.15371245515905 40.6236491990345, -74.15376880145263 40.623653169726374, -74.15375579135979 40.623760342880885, -74.15369944497655 40.623756372182676)))",,08/22/2017 12:00:00 AM +0000,Constructed,616143,26.41,2100.0,68.0,0,0,5017010011.0,5017010011.0,Photogramm
1970.0,5034441,"MULTIPOLYGON (((-74.1344861688728 40.60056353232191, -74.13448685124422 40.60054509601074, -74.1345135249446 40.60054566994518, -74.13451712145553 40.6004484038172, -74.13453011328639 40.60044868308083, -74.13461251145766 40.60045045338097, -74.13460807489908 40.60057048932682, -74.13460803902794 40.60057144932668, -74.13451264767158 40.60056939976056, -74.13451284257866 40.60056410535605, -74.1344861688728 40.60056353232191)))",,08/22/2017 12:00:00 AM +0000,Constructed,502079,16.28,2100.0,208.0,0,0,5019860043.0,5019860043.0,Photogramm
1905.0,3088045,"MULTIPOLYGON (((-73.88376527145549 40.679534494354456, -73.88387481863506 40.67951850465539, -73.88395986617945 40.679506090406385, -73.88397123647091 40.67955124019637, -73.88397399476126 40.67956219144137, -73.88392841131713 40.679568845299826, -73.88377940106245 40.67959059541439, -73.88376527145549 40.679534494354456)))",,08/22/2017 12:00:00 AM +0000,Constructed,636591,27.03,2100.0,37.0,0,0,3039550030.0,3039550030.0,Photogramm
1920.0,3401793,"MULTIPOLYGON (((-73.98955293487305 40.60449309885429, -73.98959259037862 40.60445514185271, -73.98964531208453 40.604487138555086, -73.98960565540843 40.604525095574616, -73.98955293487305 40.60449309885429)))",,08/17/2017 12:00:00 AM +0000,Constructed,1204424,15.04,5110.0,25.0,0,0,3062890021.0,3062890021.0,Photogramm
1928.0,3099098,"MULTIPOLYGON (((-73.93395471704702 40.66243696963868, -73.93394727736879 40.662373928312036, -73.93399173833647 40.66237088577379, -73.93398724331786 40.66233279584911, -73.93396609698482 40.662153600738165, -73.93398118847465 40.662152567502844, -73.93397805616716 40.66212602298067, -73.93396296468335 40.66212705621559, -73.93395902086436 40.66209364208694, -73.93395037587686 40.662094233265336, -73.93394345809675 40.66203561107017, -73.93393652039332 40.66197681956566, -73.93406924495294 40.66196773746089, -73.93407489863706 40.66201565178286, -73.93406884951817 40.66201606615558, -73.9340744140866 40.66206321768876, -73.93407565952455 40.662073765252075, -73.93410902135692 40.662071482646645, -73.93414365096088 40.66206911250672, -73.93413113439632 40.66196305060781, -73.93425168262637 40.66195480060094, -73.93426942984983 40.662105188899005, -73.93430510045854 40.66240744873008, -73.93431269997366 40.66247184270021, -73.93418642806363 40.66248048392271, -73.93417621345655 40.66239392223447, -73.93411224618221 40.66239829904452, -73.93412246188862 40.66248486163956, -73.93406485708194 40.66248880351528, -73.93396166653737 40.66249586470507, -73.93395471704702 40.66243696963868), (-73.93418302519211 40.66226543053248, -73.93416802138275 40.662166812687516, -73.93406969474805 40.6621754868812, -73.93408326736424 40.66226469982504, -73.93409692225076 40.662263495553724, -73.9341042560905 40.66231170440352, -73.93417041361985 40.6623058682136, -73.93416451079473 40.66226706338032, -73.93418302519211 40.66226543053248)))",,08/22/2017 12:00:00 AM +0000,Constructed,111394,67.91,2100.0,37.0,0,0,3045880001.0,3045880001.0,Photogramm
